"";"Numer.......................................wpisu";"ImiÍ.i.nazwisko.lub.nazwa.inwestora";"Data.wpisu";"Adres";"Rodzaj";"opis";"typ";"Data.wniosku";"Nr...............wniosku";"Nr...............decyzji";"Data.decyzji";"Rok.wniosku";"Miesiπc.wniosku";"data";"Czas.rozpatrzenia";"Lon";"Lat";"lon";"lat"
"2001";2001;"";"2009-08-31";"Strachowskiego Bart≥omieja";"linie elektroener.i telekom.rozdzielcz.";"linia kablowa nn";"nowe";"2009-07-10";"24209/09";"1650/09";"2009-08-31";2009;7;"2009-07-01";37;NA;NA;17,0203342;51,0575862
"2002";2002;"";"2009-08-31";"£ukowa 23";"bud.mieszkalne jednorodzinne";"budynek jendnorodzinny";"nowe";"2009-07-13";"24341/09";"1651/09";"2009-08-31";2009;7;"2009-07-01";36;NA;NA;16,8929722;51,1409011
"2003";2003;"";"2009-09-01";"Wyúcigowa 46";"bud.handlowo-uslugowe";"umorzenie post.";"zmiana spos.uøytk.";"2009-07-10";"24248/09";"254/09";"2009-09-01";2009;7;"2009-07-01";38;NA;NA;17,008143;51,066595
"2004";2004;"";"2009-09-01";"Sarnia";"bud.mieszkalne jednorodzinne";"umarzam postÍpowanie administracyjne-budynek jednorodzinny";"nowe";"2009-07-03";"23351/09";"256/09";"2009-09-01";2009;7;"2009-07-01";43;NA;NA;17,0535038;51,0482219
"2005";2005;"";"2009-09-01";"Ziemniaczana 9";"bud.mieszkalne jednorodzinne";"umarzam jako bezprzedmiotowe -budynek jednorodzinny";"nowe";"2009-07-17";"25197/09";"257/09";"2009-09-01";2009;7;"2009-07-01";33;NA;NA;17,0907389;51,0485269
"2006";2006;"";"2009-09-01";"Widok 8";"bud.o trzech i wiÍcej mieszkaniach";"przebudowa lokalu us≥ugowego na gabinet lekarski";"przebudowa";"2009-07-23";"25829/09";"1652/09";"2009-09-01";2009;7;"2009-07-01";29;NA;NA;17,0336876;51,106592
"2007";2007;"";"2009-09-01";"Ko≥≥πtaja Hugona 31";"bud.o trzech i wiÍcej mieszkaniach";"przebudowa lokalu mieszkal.";"przebudowa";"2009-08-07";"27806/09";"1653/09";"2009-09-01";2009;8;"2009-08-01";18;NA;NA;17,0372816;51,1028203
"2008";2008;"";"2009-09-01";"Barycka 11";"bud.o trzech i wiÍcej mieszkaniach";"remont elewacji z balkonami w budynku mieszkal.";"przebudowa";"2009-08-10";"28124/09";"1654/09";"2009-09-01";2009;8;"2009-08-01";17;NA;NA;17,047187;51,1206109
"2009";2009;"";"2009-09-01";"Grunwaldzki Plac 9";"bud.szkÛ≥ i instytucji badawczych";"remont i przebudowa hali technologicznej";"przebudowa";"2009-07-02";"23244/09";"1655/09";"2009-09-01";2009;7;"2009-07-01";44;NA;NA;17,0637763;51,1078114
"2010";2010;"";"2009-09-01";"Sarnia";"bud.mieszkalne jednorodzinne";"budynek mieszkal.jednorodz.";"nowe";"2009-07-10";"24148/09";"1656/09";"2009-09-01";2009;7;"2009-07-01";38;NA;NA;17,0535038;51,0482219
"2011";2011;"";"2009-09-01";"JapoÒska 4";"bud.szpitali i zak≥.opieki medycznej";"budynek archiwum medycznego";"nowe";"2009-07-17";"25207/09";"1657/09";"2009-09-01";2009;7;"2009-07-01";33;NA;NA;17,0818742;51,0637722
"2012";2012;"";"2009-09-01";"Rydygiera Ludwika 22-28";"bud.szpitali i zak≥.opieki medycznej";"przebudowa pomieszcenia na poziomie piwnicy ";"przebudowa";"2009-08-18";"29075/09";"1658/09";"2009-09-01";2009;8;"2009-08-01";11;NA;NA;17,0327104;51,119221
"2013";2013;"";"2009-09-01";"Graniczna 149";"bud.mieszkalne jednorodzinne";"posadowienie zbiornika podziemnego na gaz";"";"2009-08-06";"27661/09";"1659/09";"2009-09-01";2009;8;"2009-08-01";19;NA;NA;16,9010214;51,1100088
"2014";2014;"";"2009-09-02";"Kazimierza JagielloÒczyka 14";"bud.mieszkalne jednorodzinne";"rozbudowa wew.instal.gaz.w mieszkaniu";"inst.wewnÍtrzna";"2009-06-26";"22470/09";"170/09";"2009-09-02";2009;6;"2009-06-01";49;NA;NA;17,0339347;51,1214821
"2015";2015;"";"2009-09-02";"Baøancia 23";"bud.mieszkalne jednorodzinne";"umorzenie post.";"rozbudowa";"2009-05-26";"18379/09";"258/09";"2009-09-02";2009;5;"2009-05-01";72;NA;NA;17,0849923;51,135324
"2016";2016;"";"2009-09-02";"StaroúciÒska";"bud.mieszkalne jednorodzinne";"umorzenie post.";"nowe";"2009-07-01";"23006/09";"259/09";"2009-09-02";2009;7;"2009-07-01";46;NA;NA;17,0489771;51,1612446
"2017";2017;"";"2009-09-02";"GrabiszyÒska";"rurociπgi wodociπg.sieci";"budowa sieci wodociπgowej do wysokoúci budynku";"nowe";"2009-07-08";"23816/09";"1660/09";"2009-09-02";2009;7;"2009-07-01";41;NA;NA;16,9939195;51,0979706
"2018";2018;"";"2009-09-02";"£ugowa 12A";"bud.mieszkalne jednorodzinne";"przebudowa wejúcia ,poddasza,dachu w domu mieszkal.jed";"przebudowa";"2009-08-05";"27589/09";"1661/09";"2009-09-02";2009;8;"2009-08-01";21;NA;NA;17,046619;51,158913
"2019";2019;"";"2009-09-02";"Koúciuszki Tadeusza 186";"bud.o trzech i wiÍcej mieszkaniach";"remont i przebudowa balkonÛw na budynku mieszkal.";"przebudowa";"2009-07-02";"23222/09";"1662/09";"2009-09-02";2009;7;"2009-07-01";45;NA;NA;17,0547564;51,0978386
"2020";2020;"";"2009-09-02";"Krajobrazowa";"bud.mieszkalne jednorodzinne";"budowa budynku mieszkal.jednorodz.,wolnostoj.,";"nowe";"2009-07-21";"25589/09";"1663/09";"2009-09-02";2009;7;"2009-07-01";32;NA;NA;16,8372319;51,1295239
"2021";2021;"";"2009-09-02";"Stalowa 88";"bud.o trzech i wiÍcej mieszkaniach";"wew.instalacja gazu";"inst.wewnÍtrzna";"2009-08-12";"28400/09";"1664/09";"2009-09-02";2009;8;"2009-08-01";16;NA;NA;16,999484;51,1020929
"2022";2022;"";"2009-09-02";"Gorlicka 26";"bud.o trzech i wiÍcej mieszkaniach";"budowa wew.instal.gaz.";"inst.wewnÍtrzna";"2009-08-21";"29481/09";"1665/09";"2009-09-02";2009;8;"2009-08-01";9;NA;NA;17,1164054;51,1454392
"2023";2023;"";"2009-09-02";"Zegad≥owicza Emila 4";"bud.o trzech i wiÍcej mieszkaniach";"przebudowa mieszkania";"przebudowa";"2009-06-29";"22628/09";"1666/09";"2009-09-02";2009;6;"2009-06-01";48;NA;NA;17,0323272;51,1270639
"2024";2024;"";"2009-09-03";"Januszowicka 8";"bud.o trzech i wiÍcej mieszkaniach";"";"przebudowa";"2009-07-08";"23825/09";"260/09";"2009-09-03";2009;7;"2009-07-01";42;NA;NA;17,013713;51,0842229
"2025";2025;"";"2009-09-03";"Kamieniecka 59";"bud.mieszkalne jednorodzinne";"odbudowa dobudÛwki w budynku jednorodz";"rozbudowa";"2009-07-02";"23171/09";"1667/09";"2009-09-03";2009;7;"2009-07-01";46;NA;NA;17,061728;51,0781969
"2026";2026;"";"2009-09-03";"Inowroc≥awska 25";"bud.o trzech i wiÍcej mieszkaniach";"przebudowa lokalu mieszkal.w budynku wielorodz.";"przebudowa";"2009-08-27";"30214/09";"1668/09";"2009-09-03";2009;8;"2009-08-01";6;NA;NA;17,015144;51,11597
"2027";2027;"";"2009-09-03";"Hoene-WroÒskiego JÛzefa Marii 21";"bud.o trzech i wiÍcej mieszkaniach";"remont i przebudowa budynku wielorodzinnego";"przebudowa";"2009-07-31";"27050/09";"1669/09";"2009-09-03";2009;7;"2009-07-01";25;NA;NA;17,0554561;51,1086644
"2028";2028;"";"2009-09-03";"Karmelkowa";"bud.handlowo-uslugowe";"pawilon wystawienniczy";"nowe";"2009-07-17";"25092/09";"1670/09";"2009-09-03";2009;7;"2009-07-01";35;NA;NA;16,9687997;51,0698533
"2029";2029;"";"2009-09-03";"Kie≥czowska 90";"bud.kultu religijnego i czynnoúci religijnych";"rozbudowa cmentarza komunalnego";"rozbudowa";"2009-07-03";"23421/09";"1671/09";"2009-09-03";2009;7;"2009-07-01";45;NA;NA;17,1499902;51,1459722
"2030";2030;"";"2009-09-03";"Niebieska";"bud.mieszkalne jednorodzinne";"budowa budynku mieszkal.jednorodz.";"nowe";"2009-08-24";"29775/09";"1672/09";"2009-09-03";2009;8;"2009-08-01";9;NA;NA;16,8932213;51,146512
"2031";2031;"";"2009-09-03";"SrebrnogÛrska";"bud.o trzech i wiÍcej mieszkaniach";"wykonanie przy≥.telekom.do budynku";"przy≥πcze";"2009-07-16";"24865/09";"1673/09";"2009-09-03";2009;7;"2009-07-01";36;NA;NA;17,0479003;51,0720778
"2032";2032;"";"2009-09-03";"Grochowa 29";"bud.o trzech i wiÍcej mieszkaniach";"docieplenie budynku mieszkal.wielorodz.";"remont";"2009-07-27";"26349/09";"1674/09";"2009-09-03";2009;7;"2009-07-01";29;NA;NA;17,0023668;51,0977709
"2033";2033;"";"2009-09-03";"Stolarska 28";"bud.mieszkalne jednorodzinne";"rozbudowa dachu w budynku mieszkal.";"rozbudowa";"2009-07-17";"25200/09";"1675/09";"2009-09-03";2009;7;"2009-07-01";35;NA;NA;16,9936699;51,083842
"2034";2034;"";"2009-09-03";"JastrzÍbia 9";"bud.o trzech i wiÍcej mieszkaniach";"przebudowa czÍúci korytarza";"przebudowa";"2009-08-24";"29666/09";"1676/09";"2009-09-03";2009;8;"2009-08-01";9;NA;NA;17,0093849;51,08457
"2035";2035;"";"2009-09-03";"åwidnicka 38A";"bud.handlowo-uslugowe";"przebudowa i remont czÍúci budynku handlowo-us≥ugowego";"przebudowa";"2009-07-21";"25591/09";"1677/09";"2009-09-03";2009;7;"2009-07-01";33;NA;NA;17,0313717;51,1047055
"2036";2036;"";"2009-09-03";"MÍciÒskiego Wojciecha 2/4";"bud.o trzech i wiÍcej mieszkaniach";"zadaszenie tarasu w budynku mieszkal.";"przebudowa";"2009-08-07";"27811/09";"1678/09";"2009-09-03";2009;8;"2009-08-01";20;NA;NA;16,98931;51,0898699
"2037";2037;"";"2009-09-03";"Haukego-Bosaka JÛzefa Gen. 17";"bud.o trzech i wiÍcej mieszkaniach";"wew.instalacja gazu";"inst.wewnÍtrzna";"2009-07-16";"24889/09";"1679/09";"2009-09-03";2009;7;"2009-07-01";36;NA;NA;17,0451209;51,1048245
"2038";2038;"";"2009-09-03";"Wojszycka";"linie elektroener.i telekom.rozdzielcz.";"sieÊ telekomunikac.";"nowe";"2009-07-30";"26751/09";"1680/09";"2009-09-03";2009;7;"2009-07-01";26;NA;NA;17,0127559;51,0690441
"2039";2039;"";"2009-09-03";"Stopnicka 17";"bud.o trzech i wiÍcej mieszkaniach";"przebudowa lokalu mieszkalnego";"przebudowa";"2009-07-20";"25318/09";"1681/09";"2009-09-03";2009;7;"2009-07-01";34;NA;NA;17,003349;51,089639
"2040";2040;"";"2009-09-03";"Lekcyjna 158";"bud.mieszkalne jednorodzinne";"budynek jednorodzinny";"nowe";"2009-07-21";"25417/09";"1682/09";"2009-09-03";2009;7;"2009-07-01";33;NA;NA;17,063698;51,154437
"2041";2041;"";"2009-09-04";"Krzemieniecka 37";"bud.o trzech i wiÍcej mieszkaniach";"przebudowa mieszkania w budynku wielorodzinnym";"przebudowa";"2009-08-24";"29765/09";"1683/09";"2009-09-04";2009;8;"2009-08-01";10;NA;NA;16,963863;51,0961889
"2042";2042;"";"2009-09-04";"DaszyÒskiego Ignacego 52-60";"bud.o trzech i wiÍcej mieszkaniach";"przebudowa úcian zew.klatek schodowych";"przebudowa";"2009-08-10";"28114/09";"1684/09";"2009-09-04";2009;8;"2009-08-01";20;NA;NA;17,0557017;51,1237658
"2043";2043;"";"2009-09-04";"Rychtalska 2B";"bud.o trzech i wiÍcej mieszkaniach";"przebudowa lokalu mieszkalnego";"przebudowa";"2009-08-17";"28933/09";"1685/09";"2009-09-04";2009;8;"2009-08-01";15;NA;NA;17,047822;51,1267859
"2044";2044;"";"2009-09-04";"GrabiszyÒska 105";"bud.szpitali i zak≥.opieki medycznej";"przebudowa labolatorium";"przebudowa";"2009-08-06";"27733/09";"1686/09";"2009-09-04";2009;8;"2009-08-01";22;NA;NA;17,005366;51,1014289
"2045";2045;"";"2009-09-04";"So≥tysowicka 27E";"linie elektroener.i telekom.rozdzielcz.";"linie kablowe";"nowe";"2009-07-31";"26935/09";"1687/09";"2009-09-04";2009;7;"2009-07-01";26;NA;NA;17,0725929;51,143538
"2046";2046;"";"2009-09-04";"Jednoúci Narodowej 52";"bud.o trzech i wiÍcej mieszkaniach";"instalacja wodoc. i kanalizacji sanit.w budynku";"inst.wewnÍtrzna";"2009-08-19";"29285/09";"1688/09";"2009-09-04";2009;8;"2009-08-01";13;NA;NA;17,037826;51,118823
"2047";2047;"";"2009-09-04";"Hutnicza 22";"bud.mieszkalne jednorodzinne";"rozbudowa domu jednorodzinnego";"rozbudowa";"2009-08-11";"28263/09";"1689/09";"2009-09-04";2009;8;"2009-08-01";19;NA;NA;16,959481;51,134273
"2048";2048;"";"2009-09-04";"G≥Ûwna";"linie elektroener.i telekom.rozdzielcz.";"stacja trafo";"nowe";"2009-07-22";"25770/09";"1690/09";"2009-09-04";2009;7;"2009-07-01";33;NA;NA;16,9027608;51,161542
"2049";2049;"";"2009-09-04";"Przystankowa 7-7A";"bud.o trzech i wiÍcej mieszkaniach";"przy≥πcze kanalizacji sanitarnej do budynkÛw";"przy≥πcze";"2009-08-19";"29233/09";"1691/09";"2009-09-04";2009;8;"2009-08-01";13;NA;NA;17,0342379;51,070037
"2050";2050;"";"2009-09-07";"DuÒska";"bud.biurowe";"umarzam jako bezprzedmiotowe";"nowe";"2009-07-23";"25824/09";"262/09";"2009-09-07";2009;7;"2009-07-01";33;NA;NA;16,9729369;51,1110367
"2051";2051;"";"2009-09-07";"Karmelkowa";"bud.garaøy";"umarzam jako bezprzedmiotowe ";"nowe";"2009-07-06";"23434/09";"263/09";"2009-09-07";2009;7;"2009-07-01";46;NA;NA;16,9687997;51,0698533
"2052";2052;"";"2009-09-07";"Karmelkowa";"bud.garaøy";"umarzam jako bezprzedmiotowe ";"nowe";"2009-07-06";"23435/09";"264/09";"2009-09-07";2009;7;"2009-07-01";46;NA;NA;16,9687997;51,0698533
"2053";2053;"";"2009-09-07";"Pucka";"ulice i drogi pozosta≥e";"oúwietlenia ulicy";"rozbudowa";"2009-08-07";"27925/09";"1692/09";"2009-09-07";2009;8;"2009-08-01";22;NA;NA;16,9428267;51,1237417
"2054";2054;"";"2009-09-07";"Henryka Probusa 4";"bud.o trzech i wiÍcej mieszkaniach";"montaø wewnÍtrznej instalacji gazowej w lokalu mieszkalnym";"inst.wewnÍtrzna";"2009-08-19";"29286/09";"1693/09";"2009-09-07";2009;8;"2009-08-01";14;NA;NA;17,0370698;51,1187496
"2055";2055;"";"2009-09-07";"Borowska";"linie elektroener.i telekom.rozdzielcz.";"linii kablowej nn od projektowanego z≥πcza kablowego do s≥upa ";"nowe";"2009-08-07";"27881/09";"1694/09";"2009-09-07";2009;8;"2009-08-01";22;NA;NA;17,0350367;51,0849971
"2056";2056;"";"2009-09-07";"Jerzmanowska";"linie elektroener.i telekom.rozdzielcz.";"bud.linii kablow.";"nowe";"2009-08-28";"30430/09";"1695/09";"2009-09-07";2009;8;"2009-08-01";7;NA;NA;16,8887277;51,12498
"2057";2057;"";"2009-09-07";"Nulla Franciszka P≥k 12";"bud.o trzech i wiÍcej mieszkaniach";"przebud.wew.instal.gaz.";"przebudowa";"2009-07-21";"25487/09";"1696/09";"2009-09-07";2009;7;"2009-07-01";35;NA;NA;17,1002472;51,1086806
"2058";2058;"";"2009-09-07";"Sielska 3A";"bud.biurowe";"przebud.pomieszczeÒ na cele biurowe w bud.pawilonu handlow.";"przebudowa";"2009-08-25";"29842/09";"1697/09";"2009-09-07";2009;8;"2009-08-01";10;NA;NA;16,9635829;51,1399083
"2059";2059;"";"2009-09-07";"Karkonoska Aleja 10";"";"instalacja konstrukcji reklamy úwietlnej na budynku";"reklama";"2009-07-10";"24202/09";"1698/09";"2009-09-07";2009;7;"2009-07-01";42;NA;NA;17,0069471;51,0717415
"2060";2060;"";"2009-09-07";"Klasztorna";"linie elektroener.i telekom.rozdzielcz.";"stacji transformatorowej,linii kablowej sn";"nowe";"2009-08-11";"28156/09";"1699/09";"2009-09-07";2009;8;"2009-08-01";20;NA;NA;17,0442231;51,0605968
"2061";2061;"";"2009-09-07";"ZwyciÍska 2";"budowle sportowe i rekreacyjne ";"przebudowa i remont corralu westernowego na terenie toru wyúcig";"przebudowa";"2009-08-10";"28111/09";"1700/09";"2009-09-07";2009;8;"2009-08-01";21;NA;NA;16,9991755;51,0600087
"2062";2062;"";"2009-09-07";"KosynierÛw GdyÒskich 42";"bud.o trzech i wiÍcej mieszkaniach";"przebudowa wew.instal.gaz.w mieszkaniu";"inst.wewnÍtrzna";"2009-08-12";"28454/09";"1701/09";"2009-09-07";2009;8;"2009-08-01";19;NA;NA;17,10012;51,110808
"2063";2063;"";"2009-09-07";"SÍpa - SzarzyÒskiego Miko≥aja 52";"bud.o trzech i wiÍcej mieszkaniach";"przebudowa lokalu us≥ugowego";"przebudowa";"2009-08-06";"27728/09";"1702/09";"2009-09-07";2009;8;"2009-08-01";23;NA;NA;17,0525687;51,1162528
"2064";2064;"";"2009-09-07";"WiÍzienna 1/4";"bud.o trzech i wiÍcej mieszkaniach";"przebudowa lokalu mieszkal.i przy≥πczenia do niego czÍúci podd";"przebudowa";"2009-07-03";"23317/09";"1703/09";"2009-09-07";2009;7;"2009-07-01";47;NA;NA;17,0321327;51,1111813
"2065";2065;"";"2009-09-07";"JarociÒska 39";"bud.mieszkalne jednorodzinne";"budowa domu jednorodzinnego";"nowe";"2009-08-04";"27433/09";"1704/09";"2009-09-07";2009;8;"2009-08-01";25;NA;NA;16,9952495;51,1432122
"2066";2066;"";"2009-09-07";"Sienkiewicza Henryka 86-92";"bud.o trzech i wiÍcej mieszkaniach";"remont úcian zewnÍtrznych klatek schodowych";"przebudowa";"2009-08-10";"28113/09";"1705/09";"2009-09-07";2009;8;"2009-08-01";21;NA;NA;17,0573373;51,1164165
"2067";2067;"";"2009-09-07";"WiÍzienna 1/4";"bud.o trzech i wiÍcej mieszkaniach";"przebudowa lokalu mieszkalnego ";"przebudowa";"2009-07-03";"23315/09";"1706/09";"2009-09-07";2009;7;"2009-07-01";47;NA;NA;17,0321327;51,1111813
"2068";2068;"";"2009-09-08";"Rodzinna";"ulice i drogi pozosta≥e";"budowa ulic";"nowe";"2009-07-30";"26763/09";"171/09";"2009-09-08";2009;7;"2009-07-01";29;NA;NA;16,9921331;51,065376
"2069";2069;"";"2009-09-08";"WyszyÒskiego Stefana Kardyna≥a 115";"bud.o trzech i wiÍcej mieszkaniach";"umorzenie post.";"przebudowa";"2009-08-17";"28841/09";"265/09";"2009-09-08";2009;8;"2009-08-01";17;NA;NA;17,0536083;51,1235949
"2070";2070;"";"2009-09-08";"Kochanowskiego Jana Aleja";"linie elektroener.i telekom.rozdzielcz.";"umorzenie post.";"nowe";"2009-08-28";"30432/09";"266/09";"2009-09-08";2009;8;"2009-08-01";8;NA;NA;17,07779;51,1225733
"2071";2071;"";"2009-09-08";"Stobrawska 25";"bud.mieszkalne jednorodzinne";"rozbudowa i przebudowa budynku w zabudowie bliøniaczej";"rozbudowa";"2009-07-10";"24138/09";"1707/09";"2009-09-08";2009;7;"2009-07-01";43;NA;NA;16,9820985;51,1207969
"2072";2072;"";"2009-09-08";"Chmielarska";"bud.szkÛ≥ i instytucji badawczych";"przebudowa budynku dydaktyczno-naukowego";"przebudowa";"2009-09-02";"30955/09";"1708/09";"2009-09-08";2009;9;"2009-09-01";5;NA;NA;17,1490509;51,1158211
"2073";2073;"";"2009-09-08";"Pereca Icchaka Lejba 18";"bud.o trzech i wiÍcej mieszkaniach";"budowa instalacji gazowej i instalacji ogrzewania etaøowego ";"inst.wewnÍtrzna";"2009-08-07";"27849/09";"1710/09";"2009-09-08";2009;8;"2009-08-01";23;NA;NA;17,0078107;51,0992683
"2074";2074;"";"2009-09-08";"Pereca Icchaka Lejba 21";"bud.o trzech i wiÍcej mieszkaniach";"przebudowa lokalu mieszkal.w budynku wielorodz.";"przebudowa";"2009-08-12";"28481/09";"1711/09";"2009-09-08";2009;8;"2009-08-01";20;NA;NA;17,007243;51,0992993
"2075";2075;"";"2009-09-08";"Centralna 19";"bud.o trzech i wiÍcej mieszkaniach";"przebudowa lokalu mieszkal.";"przebudowa";"2009-08-10";"28014/09";"1712/09";"2009-09-08";2009;8;"2009-08-01";22;NA;NA;17,0823708;51,0608229
"2076";2076;"";"2009-09-08";"Gimnazjalna 5";"bud.o dwÛch mieszkaniach";"zadaszenie tarasu w budynku 2-rodzinnym";"rozbudowa";"2009-08-05";"27501/09";"1713/09";"2009-09-08";2009;8;"2009-08-01";25;NA;NA;17,073306;51,151852
"2077";2077;"";"2009-09-08";"D≥ugosza Jana 6";"bud.handlowo-uslugowe";"przy≥πcze wodociπgowe do budynku";"przy≥πcze";"2009-08-10";"28012/09";"1714/09";"2009-09-08";2009;8;"2009-08-01";22;NA;NA;17,0593411;51,1318353
"2078";2078;"";"2009-09-08";"Krakowska 92";"bud.przemys≥owe";"przebudowa wnÍtrza w malarni proszkowej";"przebudowa";"2009-08-24";"29810/09";"1715/09";"2009-09-08";2009;8;"2009-08-01";12;NA;NA;17,0658329;51,0920909
"2079";2079;"";"2009-09-08";"Wandy 14/16";"bud.o trzech i wiÍcej mieszkaniach";"wew.instalacja gazu w mieszkaniu";"inst.wewnÍtrzna";"2009-07-20";"25275/09";"1716/09";"2009-09-08";2009;7;"2009-07-01";37;NA;NA;17,0105012;51,0879123
"2080";2080;"";"2009-09-08";"O≥awska 4";"bud.o trzech i wiÍcej mieszkaniach";"wymiana okien w lokalach mieszkalnych nr 3a i nr 5 oraz lokalu ";"przebudowa";"2009-08-07";"27785/09";"1717/09";"2009-09-08";2009;8;"2009-08-01";23;NA;NA;17,0344929;51,108813
"2081";2081;"";"2009-09-08";"Kwiatkowskiego Eugeniusza";"linie elektroener.i telekom.rozdzielcz.";"linii kablowej úr n wraz ze z≥πczem w celu zasilania hali produkc";"nowe";"2009-07-30";"26894/09";"1718/09";"2009-09-08";2009;7;"2009-07-01";29;NA;NA;16,9575652;51,0648122
"2082";2082;"";"2009-09-09";"Rydygiera Ludwika 30";"bud.o trzech i wiÍcej mieszkaniach";"remont i przebudowa lokali mieszkalnych w budynku mieszkalnym ";"remont";"2009-07-29";"26575/09";"172/09";"2009-09-09";2009;7;"2009-07-01";31;NA;NA;17,0324912;51,1196128
"2083";2083;"";"2009-09-09";"Wincentego åw. 33";"bud.o trzech i wiÍcej mieszkaniach";"remont elewacji frontowej wielorodzin.budynku";"remont";"2009-07-10";"24313/09";"173/09";"2009-09-09";2009;7;"2009-07-01";44;NA;NA;17,035536;51,1227016
"2084";2084;"";"2009-09-09";"Czekoladowa 77";"linie telekomunikacyjne ";"budowie stacji bazowej umts wro 1127";"nowe";"2009-01-27";"2629/09";"174/09";"2009-09-09";2009;1;"2009-01-01";162;NA;NA;16,974124;51,058557
"2085";2085;"";"2009-09-09";"KrÍta 18";"bud.mieszkalne jednorodzinne";"";"inst.wewnÍtrzna";"2009-08-25";"29981/09";"1719/09";"2009-09-09";2009;8;"2009-08-01";12;NA;NA;17,0394201;51,124058
"2086";2086;"";"2009-09-09";"Jednoúci Narodowej 113";"bud.o trzech i wiÍcej mieszkaniach";"przebudowa lokalu us≥ugowego";"przebudowa";"2009-07-10";"24309/09";"1720/09";"2009-09-09";2009;7;"2009-07-01";44;NA;NA;17,0448254;51,1234687
"2087";2087;"";"2009-09-09";"Kar≥owicza Mieczys≥awa 1";"bud.kultu religijnego ";"remont ogrodzenia";"remont";"2009-08-11";"28309/09";"1721/09";"2009-09-09";2009;8;"2009-08-01";22;NA;NA;17,0870283;51,1176288
"2088";2088;"";"2009-09-09";"Prusa Boles≥awa 17";"bud.o trzech i wiÍcej mieszkaniach";"remont i ocieplenie úciany szczytowej wsch budynku mieszkalnego ";"remont";"2009-07-17";"25082/09";"1722/09";"2009-09-09";2009;7;"2009-07-01";39;NA;NA;17,0486557;51,1196531
"2089";2089;"";"2009-09-09";"Rejtana Tadeusza 2";"bud.szpitali i zak≥.opieki medycznej";"przebudowa lokalu us≥ugowego";"przebudowa";"2009-06-17";"21133/09";"1723/09";"2009-09-09";2009;6;"2009-06-01";61;NA;NA;17,0346433;51,1010761
"2090";2090;"";"2009-09-09";"Muzealny Plac 15";"bud.o trzech i wiÍcej mieszkaniach";"montaø wewnÍtrznej instalacji gazu  w lokalu mieszkalnym budynku ";"inst.wewnÍtrzna";"2009-07-27";"26255/09";"1724/09";"2009-09-09";2009;7;"2009-07-01";33;NA;NA;17,0266617;51,103928
"2091";2091;"";"2009-09-09";"Haukego-Bosaka JÛzefa Gen. 24";"bud.o trzech i wiÍcej mieszkaniach";"przebudowa wew.instal.gaz.oraz instal.central.ogtrzew.";"inst.wewnÍtrzna";"2009-07-31";"26938/09";"1725/09";"2009-09-09";2009;7;"2009-07-01";29;NA;NA;17,0465386;51,1046335
"2092";2092;"";"2009-09-09";"DrÛønicza";"bud.mieszkalne jednorodzinne";"budynek mieszkalny jednorodzinny wolno stojπcy z wbudowanym";"nowe";"2009-08-13";"28653/09";"1726/09";"2009-09-09";2009;8;"2009-08-01";20;NA;NA;17,0615234;51,0591232
"2093";2093;"";"2009-09-09";"Popielskiego Leona 33C";"bud.mieszkalne jednorodzinne";"budowa piÍciu budynkÛw jednorodzinnych ";"nowe";"2009-06-18";"21382/09";"1727/09";"2009-09-09";2009;6;"2009-06-01";60;NA;NA;17,0863177;51,0709665
"2094";2094;"";"2009-09-09";"Kazimierza JagielloÒczyka 3";"bud.o trzech i wiÍcej mieszkaniach";"przebudowa lokalu mieszkalnego i wew.instalacja gazu";"przebudowa";"2009-08-10";"28075/09";"1728/09";"2009-09-09";2009;8;"2009-08-01";23;NA;NA;17,0329977;51,1210322
"2095";2095;"";"2009-09-09";"Liskego Ksawerego 3";"bud.o trzech i wiÍcej mieszkaniach";"wew.instalacja gazu";"inst.wewnÍtrzna";"2009-08-25";"29933/09";"1729/09";"2009-09-09";2009;8;"2009-08-01";12;NA;NA;17,0697842;51,1154947
"2096";2096;"";"2009-09-09";"Strzegomska 208";"linie telekomunikacyjne ";"stacja bazowa telefonii";"nowe";"2008-09-18";"36116/08";"1730/09";"2009-09-09";2008;9;"2008-09-01";255;NA;NA;16,9593989;51,111433
"2097";2097;"";"2009-09-09";"Syrokomli W≥adys≥awa 1";"bud.szpitali i zak≥.opieki medycznej";"przebudowa pomieszczeÒ labolator.na gabinet ";"przebudowa";"2009-08-18";"29010/09";"1731/09";"2009-09-09";2009;8;"2009-08-01";17;NA;NA;17,0484728;51,1376241
"2098";2098;"";"2009-09-09";"Solny Plac 13";"bud.biurowe";"budowa instal.telekom.w budynku";"inst.wewnÍtrzna";"2009-08-05";"27464/09";"1732/09";"2009-09-09";2009;8;"2009-08-01";26;NA;NA;17,028689;51,109063
"2099";2099;"";"2009-09-09";"Hubska";"rurociπgi kanalizac.sieci ";"przebudowa odcinka sieci ciep≥ow.";"przebudowa";"2009-07-29";"26655/09";"1733/09";"2009-09-09";2009;7;"2009-07-01";31;NA;NA;17,0444192;51,0906746
"2100";2100;"";"2009-09-09";"Kie≥baúnicza 29";"bud.o trzech i wiÍcej mieszkaniach";"montaø instalacji ciep≥ej wody oraz instalacji cyrkulacji w budynku ";"inst.wewnÍtrzna";"2009-08-20";"29299/09";"1734/09";"2009-09-09";2009;8;"2009-08-01";15;NA;NA;17,029184;51,1106459
